mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.001946735382080078,0.0061932563781738285,0.45003467049611184,0.9643471424503998,manhattan,22,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'distance'}",56,0.45137545669460566,0.9653984008822719,0.46772691453542525,0.9605609444319122,0.40755963894261776,0.9648998950074218,0.4147321345729183,0.96048058075796,0.5092969946951407,0.9703958911724334,0.0003221797605773711,0.0005017752589849051,0.0370064118419945,0.003668341192932375
0.0021270275115966796,0.005798053741455078,0.4653080383099714,0.5207597693030654,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",21,0.4723565441650548,0.5161471344267043,0.4791532344723835,0.526409671570962,0.4398416792033814,0.521335494453774,0.4278308189055279,0.5235307052619345,0.5076088716205278,0.5163758408019528,0.0004284482460135962,0.00041345060497876586,0.028509430536208535,0.0040106401179758056
0.00197749137878418,0.005618953704833984,0.45180566975378844,0.9643471424503998,manhattan,25,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'distance'}",52,0.47103123432910676,0.9653984008822719,0.4505337058528548,0.9605609444319122,0.4037717601547389,0.9648998950074218,0.4215702648035777,0.96048058075796,0.5127119538822139,0.9703958911724334,0.0001632106673304655,0.00024913464289877114,0.03814394107999238,0.003668341192932375
0.0018595218658447265,0.006025362014770508,0.47435418714649535,0.5221550102973562,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",2,0.5055430188408911,0.5257538160763966,0.4850454903646394,0.5166289306074253,0.4533096926713949,0.5274860543677748,0.4376287368479651,0.5333483492259199,0.4901176172477142,0.5075579012092643,0.00015426390305876806,0.0009524773047347651,0.025002517048580735,0.00905842614094549
0.002030467987060547,0.00590672492980957,0.45527021872152684,0.9643471424503998,manhattan,28,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'distance'}",38,0.46694784726699623,0.9653984008822719,0.45817214700193437,0.9605609444319122,0.4217440361057383,0.9648998950074218,0.424451186698584,0.96048058075796,0.5054655770706197,0.9703958911724334,0.00022290755550389521,0.0002493554073029353,0.030709172625020983,0.003668341192932375
0.002105569839477539,0.0057716846466064455,0.4727780968628297,0.5256175109662019,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",3,0.4958002005874347,0.5132772444600401,0.5005551973637081,0.5259515474569237,0.4625062683573323,0.5267926020614192,0.4294754031434985,0.5470159611718676,0.47516969214923066,0.5150501996807593,0.00015124524508005946,0.0006388262241936334,0.02563439303441783,0.012027770665506457
0.002118968963623047,0.0062233924865722655,0.45485651796922877,0.9643471424503998,manhattan,31,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'distance'}",40,0.4712192850490723,0.9653984008822719,0.4682104735296226,0.9605609444319122,0.42306934594168644,0.9648998950074218,0.40617055428751686,0.96048058075796,0.5058820355080675,0.9703958911724334,0.0002449827459860726,0.0004389921320579991,0.03577905897942016,0.003668341192932375
0.0021797657012939454,0.005956029891967774,0.4671331283960368,0.5182058194271637,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",13,0.4762071065262555,0.5007338340671674,0.47633247367289927,0.5110548551408767,0.4570975714592737,0.5241399381184327,0.42914602237933513,0.5462780661250294,0.4969475356218605,0.5088224036843119,0.0001941548696149896,0.00036979293757328385,0.02273878142602517,0.01592306410810919
0.0018693923950195313,0.005836343765258789,0.45308546692165114,0.9643471424503998,manhattan,34,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'distance'}",46,0.4774697327888818,0.9653984008822719,0.464906153735941,0.9605609444319122,0.4125474604198009,0.9648998950074218,0.402382675499638,0.96048058075796,0.5084335766389106,0.9703958911724334,0.00015617369848399477,0.00031596320346775344,0.039952867169371034,0.003668341192932375
0.00203852653503418,0.006357812881469726,0.4567488372207399,0.5198985562326532,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",34,0.4715774768966258,0.49851144474800385,0.4704402177806434,0.5242457661812501,0.4500053728777134,0.5193038741425838,0.40238267549963797,0.5368250609761849,0.4892847003728184,0.5206066351152434,0.00031332684113439743,0.0007774905038006375,0.02981493377731298,0.012358546494786671
